O3	NO2	NO	SO2	PM10
45	23	11	5	37
33	55	60	27	23
33	56	124	150	63
37	62	97	13	41
26	37	19	5	38
36	44	56	24	63
31	50	105	30	100
33	40	44	10	32
38	13	9	3	19
19	24	59	6	31
30	26	40	16	29
33	31	30	4	50
29	43	53	11	43
40	16	9	4	20
46	54	41	12	42
42	23	12	2	19
22	33	71	19	34
35	29	15	10	29
25	29	50	5	22
40	51	52	89	75
27	45	94	9	36
68	52	9	48	77
27	32	31	3	35
28	35	35	1	21
24	34	88	3	29
38	58	103	24	119
30	33	47	5	30
23	27	70	9	30
32	18	12	14	25
32	32	38	3	20
22	28	58	7	57
43	34	23	9	30
29	41	64	11	45
36	34	19	5	24
32	30	39	5	35
23	25	52	11	30
30	38	81	3	19
19	54	35	15	51
53	36	56	10	39
42	61	89	107	72
25	31	51	14	24
28	35	25	9	28
37	36	30	9	48
74	37	14	107	63
67	49	55	10	64
28	32	44	9	22
9	34	70	148	67
64	44	28	10	47
34	38	41	9	27
28	27	56	3	33
25	37	68	5	23
40	26	45	5	39
32	31	60	3	49
36	24	20	9	38
31	24	20	8	27
35	50	62	3	33
34	25	32	7	36
36	41	58	8	23
33	36	47	59	38
33	13	12	1	14
26	36	31	5	22
34	25	33	9	25
18	31	65	11	22
30	25	24	6	18
37	32	39	9	41
65	60	99	28	97
24	27	75	9	18
34	41	55	16	29
33	34	44	5	18
32	58	71	65	69
29	41	33	8	31
20	24	49	19	30
29	29	14	55	36
34	24	17	6	52
27	30	23	8	44
18	44	40	7	44
30	25	14	8	34
21	47	67	5	37
34	31	52	5	32
29	48	99	18	58
16	43	88	19	53
45	42	57	2	18
29	19	20	4	34
25	48	47	14	39
21	44	58	5	67
25	19	18	2	24
34	38	60	5	24
41	29	53	21	42
22	15	15	3	24
38	19	12	2	185
27	30	48	13	17
23	43	44	10	31
38	45	59	4	28
20	33	29	5	32
31	57	132	25	87
32	43	78	10	36
33	25	19	11	21
26	36	24	3	21
46	46	47	10	61
43	23	18	5	21
34	78	140	28	93
19	46	80	16	55
25	39	74	4	25
39	66	139	70	103
26	62	36	15	58
20	49	101	14	30
27	28	58	10	71
16	46	71	5	19
26	39	17	11	39
30	49	35	20	64
46	44	89	10	65
38	50	76	34	32
37	50	114	5	23
